FacID,Site,Call,Ch,PC,City,St,Lat,Lon,RCAMSL,HAAT,ERP,DA,AntID,Az
1328,,WABC-TV,7,7,NEW YORK,NY,404247,740047,518.2,506,34,ND,,
147,,WTIC-TV,34,31,HARTFORD,CT,414213,724955,605,506,526,DA,105619,0
1283,,KJWP,2,2,WILMINGTON,DE,400230,751410,378.9,310.8,9.36,DA,117588,0
6048,,WNYE-TV,24,24,NEW YORK,NY,404522,735910,324.2,309.7,151,ND,,
6868,,WWLP,11,11,SPRINGFIELD,MA,420505,724212,325,247,15.8,DA,87511,0
7692,,WBPX-TV,22,32,BOSTON,MA,421827,711325,335,292,241,DA,41971,0
7933,,WNUV,25,40,BALTIMORE,MD,392010,763858,456.8,372.8,620,DA,106798,0
8616,,WPVI-TV,6,6,PHILADELPHIA,PA,400233,751432,394.7,330,34,DA,108369,0
9610,,WCBS-TV,36,33,NEW YORK,NY,404247,740047,530.4,519.1,409,ND,,
11260,,WIVT,27,34,BINGHAMTON,NY,420339,755635,671,278,298,DA,85351,0
12499,,WPSG,33,32,PHILADELPHIA,PA,400230,751410,465,400,816,DA,107152,0
13594,,WEDW,21,49,BRIDGEPORT,CT,411644,731106,304,220,96.6,DA,98009,0
13602,,WEDH,30,45,HARTFORD,CT,414213,724955,604,505,365,DA,91370,0
13607,,WEDN,9,9,NORWICH,CT,413114,721001,284,192,4.2,DA,91371,0
13933,,WYPX-TV,19,50,AMSTERDAM,NY,425904,741054,432.8,207,240,DA,38556,0
14050,,WCCT-TV,33,20,WATERBURY,CT,414213,724955,615,516,69.2,ND,,
16455,,WMDT,29,47,SALISBURY,MD,383006,754407,311.6,307,246,DA,87632,0
17010,,WYOU,12,13,SCRANTON,PA,411058,755225,855,471,30,DA,71517,0
18795,,WNET,12,13,NEWARK,NJ,404247,740047,518.2,507,8.1,DA,1000629,0
22206,,WNYW,27,44,NEW YORK,NY,404454,735909,381,367,705,DA,68229,0
25453,,KYW-TV,30,26,PHILADELPHIA,PA,400233,751432,440,375,861,ND,,
25455,,WJZ-TV,11,13,BALTIMORE,MD,392005,763902,378,295,33.8,DA,106123,0
25682,,WGGB-TV,26,40,SPRINGFIELD,MA,421430,723855,418.8,324,345,DA,90390,0
30429,,WEPT-CD,28,22,NEWBURGH,NY,420506,740560,977,0,15,DA,116639,170
30577,,WUNI,19,29,WORCESTER,MA,422009,714255,613,468,216,ND,,
