FacID,SrcKey,DTSKey,Site,FileNumber,AppID,Country,D,U,Call,Ch,FromCh,City,St,Lat,Lon,DTSDist,RCAMSL,HAAT,ERP,DA,AntID,Rot,Tilt,Offset,Mask,Type,InCountry,Area,Population,Area,Population,Area,Population,,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,,Az,FV,Az,FV,Az,FV,Az,FV,Az,FV,Az,FV
87,2112,,0,BLDTA20090501AAG,1310956,US,1,1,KOMI-CD,34,,WOODWARD,OK,36.268373,99.449277,,1015.000000,0.000000,15.0,DA,86491,120.000000,0.5,0,2,3,US,9105.6,28857,9105.6,28857,9105.6,28857,,1.000000,0.994000,0.978000,0.951000,0.915000,0.871000,0.820000,0.767000,0.715000,0.668000,0.631000,0.609000,0.602000,0.608000,0.623000,0.642000,0.659000,0.672000,0.676000,0.672000,0.659000,0.642000,0.623000,0.608000,0.602000,0.609000,0.631000,0.668000,0.715000,0.767000,0.820000,0.871000,0.915000,0.951000,0.978000,0.994000,,,,,,,,,,,,,
125,1191,,0,BLCDT20070920ACM,1205969,US,1,1,KFCT,21,,FORT COLLINS,CO,40.642203,104.818581,,1793.000000,233.000000,50.0,ND,,,1.0,0,0,1,US,15442.2,788749,15442.2,788749,15442.2,788749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,158,,0,BMLCDT20130627ABX,1558955,US,1,1,KDVR,32,,DENVER,CO,39.728321,105.237684,,2323.000000,314.000000,1000,DA,101908,0.000000,1.0,0,0,1,US,23093.6,3394770,23093.6,3394770,23093.6,3394770,,0.990000,0.980000,0.940000,0.870000,0.810000,0.770000,0.750000,0.790000,0.770000,0.760000,0.730000,0.670000,0.590000,0.520000,0.450000,0.400000,0.380000,0.390000,0.390000,0.340000,0.270000,0.240000,0.270000,0.290000,0.280000,0.260000,0.280000,0.350000,0.410000,0.410000,0.410000,0.460000,0.580000,0.710000,0.850000,0.950000,,,,,,,,,,,,,
131,1829,,0,BLANK0000001147,2000801,US,1,1,WVEN-TV,49,,DAYTONA BEACH,FL,28.919738,81.318481,,428.700000,428.000000,120,DA,79134,0.000000,0.8,0,0,1,US,24140.7,3276401,24140.7,3276401,24140.7,3276401,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,,,,,,,,,,,
144,1128,,0,BLCDT20080808ACP,1260424,US,1,1,KNVA,49,,AUSTIN,TX,30.326039,97.799730,,613.000000,396.000000,500,ND,,,0.8,0,0,1,US,27938.0,2294145,27938.0,2294145,27938.0,2294145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,292,,0,BLCDT20111013AAX,1450167,US,1,1,WXIN,45,,INDIANAPOLIS,IN,39.888930,86.201934,,553.000000,300.000000,1000,DA,103244,0.000000,0.5,0,0,1,US,25515.6,2685472,25515.6,2685472,25515.6,2685472,,1.000000,0.954000,0.746000,0.522000,0.729000,0.709000,0.516000,0.764000,0.963000,1.000000,0.954000,0.746000,0.522000,0.729000,0.709000,0.516000,0.764000,0.963000,1.000000,0.954000,0.746000,0.522000,0.729000,0.709000,0.516000,0.764000,0.963000,1.000000,0.954000,0.746000,0.522000,0.729000,0.709000,0.516000,0.764000,0.963000,,,,,,,,,,,,,
147,401,,0,BLCDT20101222AAE,1431623,US,1,1,WTIC-TV,31,,HARTFORD,CT,41.703710,72.832044,,605.000000,506.000000,495,DA,105619,0.000000,1.0,0,0,1,US,24228.7,3934201,24228.7,3934201,24228.7,3934201,,0.936000,0.917000,0.905000,0.900000,0.899000,0.900000,0.905000,0.917000,0.936000,0.963000,0.988000,1.000000,0.987000,0.940000,0.854000,0.733000,0.588000,0.437000,0.302000,0.218000,0.207000,0.232000,0.245000,0.232000,0.207000,0.218000,0.302000,0.437000,0.588000,0.733000,0.854000,0.940000,0.987000,1.000000,0.988000,0.963000,,,,,,,,,,,,,
148,220,,0,BLCDT20120625ABA,1504918,US,1,1,KAKW-DT,13,,KILLEEN,TX,30.726297,97.990019,,892.000000,553.000000,39.0,DA,109886,0.000000,0.8,0,0,1,US,42969.5,2458289,42969.5,2458289,42969.5,2458289,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,,,,,,,,,,,
257,2208,,0,BLANK0000001492,2001143,US,1,1,WWAT-CD,45,,CHARLEROI,PA,39.810993,79.691741,,899.000000,0.000000,0.558,DA,120862,330.000000,0.0,0,2,3,US,2419.0,204528,2419.0,204528,2419.0,204528,,0.849000,0.704000,0.658000,0.862000,0.991000,1.000000,0.929000,0.788000,0.615000,0.437000,0.270000,0.138000,0.060000,0.026000,0.031000,0.024000,0.015000,0.026000,0.031000,0.018000,0.015000,0.028000,0.031000,0.025000,0.060000,0.138000,0.272000,0.439000,0.617000,0.786000,0.917000,0.978000,0.972000,0.857000,0.671000,0.733000,,,,,,,,,,,,,
267,2218,,0,BLANK0000001454,2001095,US,1,1,WWLM-CD,20,,WASHINGTON,PA,40.189988,80.231921,,454.900000,0.000000,15.0,DA,20732,161.000000,0.0,0,2,3,US,3127.0,425497,3127.0,425497,3127.0,425497,,1.000000,0.945000,0.830000,0.795000,0.925000,0.995000,0.975000,0.920000,0.835000,0.715000,0.580000,0.410000,0.135000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.130000,0.395000,0.560000,0.710000,0.825000,0.915000,0.975000,0.983000,0.895000,0.784000,0.827000,0.955000,,,,,,,,,,,,,
