FacID,Site,Call,Ch,PC,City,St,Lat,Lon,RCAMSL,HAAT,ERP,DA,AntID,Az
21488,,KYES-TV,5,5,ANCHORAGE,AK,612009,1493055,614.5,277,15,DA,93311,0
804,,KAKM,8,8,ANCHORAGE,AK,612520,1495228,271.2,240,50,DA,67943,0
10173,,KTUU-TV,10,10,ANCHORAGE,AK,612520,1495228,271.2,240,50,DA,89986,0
13815,,KYUR,12,12,ANCHORAGE,AK,612520,1495228,271.2,240,41,DA,68006,0
35655,,KTBY,20,20,ANCHORAGE,AK,611309,1495332,98,45,234,DA,90682,0
49632,,KTVA,28,28,ANCHORAGE,AK,611131,1495409,130.6,60.6,28.9,DA,73156,0
25221,,KDMD,33,33,ANCHORAGE,AK,612009,1493056,627.9,300.2,17.2,DA,102633,0
787,,KCFT-CD,35,35,ANCHORAGE,AK,610400,1494444,539.7,0,15,DA,109112,315
64597,,KFXF,7,7,FAIRBANKS,AK,645518,1474304,512,268,6.1,DA,91018,0
69315,,KUAC-TV,9,9,FAIRBANKS,AK,645440,1474647,432,168.9,30,ND,,
64596,,K13XD-D,13,13,FAIRBANKS,AK,645518,1474304,521.6,0,3,DA,105830,170
13813,,KATN,18,18,FAIRBANKS,AK,645518,1474258,473,230,16,ND,,
49621,,KTVF,26,26,FAIRBANKS,AK,645243,1480323,736,471,27,DA,92468,110
8651,,KTOO-TV,10,10,JUNEAU,AK,581755,1342413,37,-363,1,ND,,
13814,,KJUD,11,11,JUNEAU,AK,581804,1342632,82,-290,0.14,DA,78617,0
60520,,KUBD,13,13,KETCHIKAN,AK,552058,1314018,100,-71,0.413,DA,104820,0
20015,,KJNP-TV,20,20,NORTH POLE,AK,645243,1480323,755.9,491.6,30.9,DA,96421,110
60519,,KTNL-TV,7,7,SITKA,AK,570260,1352010,46.2,-216,0.35,DA,88100,340
56642,,WGWW,9,9,ANNISTON,AL,333624,862503,579,359,15.6,DA,66854,0
3086,,WTZT-CD,11,11,ATHENS,AL,344906,864416,527.3,0,1.11,ND,,
71325,,WDBB,14,18,BESSEMER,AL,332851,872403,805,675,317,DA,44013,0
74173,,WVTM-TV,7,13,BIRMINGHAM,AL,332926,864748,598,403,20,DA,85966,350
717,,WBIQ,10,10,BIRMINGHAM,AL,332904,864825,615.3,426.2,3,ND,,
