FacID,SrcKey,DTSKey,Site,FileNumber,AppID,Country,D,U,Call,Ch,FromCh,City,St,Lat,Lon,DTSDist,RCAMSL,HAAT,ERP,DA,AntID,Rot,Tilt,Offset,Mask,Type,InCountry,Area,Population,Area,Population,Area,Population,,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,,Az,FV,Az,FV,Az,FV,Az,FV,Az,FV,Az,FV
1328,94,,0,BMPCDT20080620AMV,2000760,US,1,1,WABC-TV,7,,NEW YORK,NY,40.712991,74.013112,,518.200000,506.000000,34.0,ND,,,2.5,0,0,1,US,39405.1,22198046,39405.1,22198046,39405.1,22198046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,401,,0,BLCDT20101222AAE,1431623,US,1,1,WTIC-TV,31,,HARTFORD,CT,41.703710,72.832044,,605.000000,506.000000,495,DA,105619,0.000000,1.0,0,0,1,US,24228.7,3934201,24228.7,3934201,24228.7,3934201,,0.936000,0.917000,0.905000,0.900000,0.899000,0.900000,0.905000,0.917000,0.936000,0.963000,0.988000,1.000000,0.987000,0.940000,0.854000,0.733000,0.588000,0.437000,0.302000,0.218000,0.207000,0.232000,0.245000,0.232000,0.207000,0.218000,0.302000,0.437000,0.588000,0.733000,0.854000,0.940000,0.987000,1.000000,0.988000,0.963000,,,,,,,,,,,,,
1283,130,,0,BLCDT20131129AIH,1598839,US,1,1,KJWP,2,,WILMINGTON,DE,40.041778,75.236013,,378.900000,310.800000,9.36,DA,117588,0.000000,0.5,0,0,1,US,34552.5,11043938,34552.5,11043938,34552.5,11043938,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,,,,,,,,,,,
6048,1167,,0,BLEDT20071228ABM,1225079,US,1,1,WNYE-TV,24,,NEW YORK,NY,40.756213,73.986250,,324.200000,309.700000,151,ND,,,1.2,0,0,1,US,20163.6,18598945,20163.6,18598945,20163.6,18598945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6868,842,,0,BLCDT20090612AJV,1317777,US,1,1,WWLP,11,,SPRINGFIELD,MA,42.084816,72.703426,,325.000000,247.000000,15.8,DA,87511,0.000000,0.0,0,0,1,US,17199.7,2703845,17199.7,2703845,17199.7,2703845,,0.531000,0.237000,0.334000,0.471000,0.334000,0.237000,0.531000,0.697000,0.552000,0.563000,0.785000,0.999000,0.866000,0.658000,0.821000,0.965000,0.820000,0.683000,0.882000,0.998000,0.758000,0.650000,0.758000,0.998000,0.882000,0.683000,0.820000,0.965000,0.821000,0.658000,0.866000,0.999000,0.785000,0.563000,0.552000,0.697000,,,,,,,,,,,,,
7692,1560,,0,BLCDT20040723ACG,1006480,US,1,1,WBPX-TV,32,,BOSTON,MA,42.307597,71.223666,,335.000000,292.000000,300,DA,41971,0.000000,0.5,0,0,1,US,19005.5,6524393,19005.5,6524393,19005.5,6524393,,0.414000,0.472000,0.549000,0.630000,0.710000,0.784000,0.849000,0.902000,0.942000,0.970000,0.988000,0.998000,0.995000,0.983000,0.961000,0.928000,0.884000,0.826000,0.754000,0.670000,0.587000,0.510000,0.442000,0.393000,0.373000,0.390000,0.428000,0.469000,0.502000,0.523000,0.527000,0.512000,0.484000,0.448000,0.413000,0.393000,,,,,,,,,,,,,
7933,387,,0,BMLCDT20110131ASB,1412726,US,1,1,WNUV,40,,BALTIMORE,MD,39.336218,76.649414,,456.800000,372.800000,845,DA,106798,0.000000,0.8,0,0,1,US,26660.5,8607618,26660.5,8607618,26660.5,8607618,,0.602000,0.530000,0.418000,0.305000,0.356000,0.340000,0.392000,0.400000,0.347000,0.348000,0.382000,0.405000,0.505000,0.597000,0.592000,0.659000,0.851000,0.971000,0.925000,0.825000,0.904000,1.000000,0.904000,0.825000,0.919000,0.936000,0.836000,0.875000,0.995000,0.933000,0.824000,0.901000,0.975000,0.887000,0.693000,0.592000,,,,,,,,,,,,,
8616,287,,0,BLCDT20111019ACJ,1448622,US,1,1,WPVI-TV,6,,PHILADELPHIA,PA,40.042612,75.242124,,394.700000,330.000000,34.0,DA,108369,0.000000,1.0,0,0,1,US,43850.5,13259861,43850.5,13259861,43850.5,13259861,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,,,,,,,,,,,
9610,98,,0,BMPCDT20080619AAZ,2000996,US,1,1,WCBS-TV,33,,NEW YORK,NY,40.712991,74.013112,,530.400000,519.100000,385,ND,,,1.0,0,0,1,US,30490.8,20258210,30490.8,20258210,30490.8,20258210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11260,651,,0,BLCDT20090819AGR,1361391,US,1,1,WIVT,34,,BINGHAMTON,NY,42.060909,75.942975,,671.000000,278.000000,345,DA,85351,0.000000,0.7,0,0,1,US,16387.2,590838,16387.2,590838,16387.2,590838,,0.265000,0.235000,0.201000,0.210000,0.290000,0.415000,0.551000,0.674000,0.769000,0.813000,0.804000,0.763000,0.730000,0.734000,0.782000,0.858000,0.937000,0.988000,1.000000,0.969000,0.911000,0.848000,0.819000,0.834000,0.889000,0.944000,0.967000,0.921000,0.820000,0.670000,0.500000,0.331000,0.233000,0.211000,0.246000,0.271000,,,,,,,,,,,,,
