FacID,SrcKey,DTSKey,Site,FileNumber,AppID,Country,D,U,Call,Ch,FromCh,City,St,Lat,Lon,DTSDist,RCAMSL,HAAT,ERP,DA,AntID,Rot,Tilt,Offset,Mask,Type,InCountry,Area,Population,Area,Population,Area,Population,,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,,Az,FV,Az,FV,Az,FV,Az,FV,Az,FV,Az,FV
87,2112,,0,BLDTA20090501AAG,1310956,US,1,1,KOMI-CD,34,,WOODWARD,OK,36.268373,99.449277,,1015.000000,0.000000,15.0,DA,86491,120.000000,0.5,0,2,3,US,9105.6,28857,9105.6,28857,9105.6,28857,,1.000000,0.994000,0.978000,0.951000,0.915000,0.871000,0.820000,0.767000,0.715000,0.668000,0.631000,0.609000,0.602000,0.608000,0.623000,0.642000,0.659000,0.672000,0.676000,0.672000,0.659000,0.642000,0.623000,0.608000,0.602000,0.609000,0.631000,0.668000,0.715000,0.767000,0.820000,0.871000,0.915000,0.951000,0.978000,0.994000,,,,,,,,,,,,,
12508,476,,0,BLCDT20100615ACT,1373141,US,1,1,KOCO-TV,7,,OKLAHOMA CITY,OK,35.562558,97.490317,,803.000000,451.000000,65.7,ND,,,1.0,0,0,1,US,44287.3,1704987,44287.3,1704987,44287.3,1704987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25382,178,,0,BMLCDT20121205ADH,1531568,US,1,1,KWTV-DT,39,,OKLAHOMA CITY,OK,35.597834,97.489762,,827.000000,478.000000,1000,DA,99012,0.000000,0.8,0,0,1,US,38024.6,1626261,38024.6,1626261,38024.6,1626261,,0.881000,0.865000,0.829000,0.806000,0.824000,0.888000,0.959000,0.987000,0.967000,0.950000,0.951000,0.940000,0.905000,0.868000,0.854000,0.877000,0.929000,0.979000,1.000000,0.979000,0.929000,0.877000,0.854000,0.868000,0.905000,0.940000,0.951000,0.950000,0.967000,0.987000,0.959000,0.888000,0.824000,0.806000,0.829000,0.865000,,,,,,,,,,,,,
38214,117,,0,BLCDT20140530AFS,1639271,US,1,1,KSBI,23,,OKLAHOMA CITY,OK,35.597834,97.489762,,678.800000,330.700000,1000,ND,,,1.0,0,0,1,US,31479.1,1561857,31479.1,1561857,31479.1,1561857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50170,1357,,0,BLCDT20060615AAL,1124620,US,1,1,KOCB,33,,OKLAHOMA CITY,OK,35.549503,97.488650,,809.800000,457.600000,900,ND,,,0.8,0,0,1,US,38327.2,1629152,38327.2,1629152,38327.2,1629152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50182,1368,,0,BLCDT20060504ACH,1127209,US,1,1,KAUT-TV,40,,OKLAHOMA CITY,OK,35.597804,97.489778,,785.200000,436.900000,1000,ND,,,0.8,0,0,1,US,36876.9,1606355,36876.9,1606355,36876.9,1606355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50194,239,,0,BLEDT20120419ABL,1495668,US,1,1,KWET,8,,CHEYENNE,OK,35.593382,99.667327,,929.600000,303.200000,60.0,DA,108315,0.000000,1.0,0,0,1,US,32662.4,111031,32662.4,111031,32662.4,111031,,0.807000,0.830000,0.888000,0.952000,0.994000,0.994000,0.952000,0.888000,0.830000,0.807000,0.830000,0.888000,0.952000,0.994000,0.994000,0.952000,0.888000,0.830000,0.807000,0.830000,0.888000,0.952000,0.994000,0.994000,0.952000,0.888000,0.830000,0.807000,0.830000,0.888000,0.952000,0.994000,0.994000,0.952000,0.888000,0.830000,,,,,,,,,,,,,
50205,100,,0,BLEDT20140929AOU,1649507,US,1,1,KETA-TV,13,,OKLAHOMA CITY,OK,35.597834,97.489762,,811.100000,462.600000,50.0,ND,,,1.0,0,0,1,US,42756.2,1686959,42756.2,1686959,42756.2,1686959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66222,1459,,0,BLCDT20050701ABR,1082297,US,1,1,KFOR-TV,27,,OKLAHOMA CITY,OK,35.597834,97.489762,,828.000000,489.000000,790,ND,,,0.7,0,0,1,US,38840.9,1630789,38840.9,1630789,38840.9,1630789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66414,684,,0,BLCDT20090717AAS,1321823,US,1,1,KBSD-DT,6,,ENSIGN,KS,37.641134,100.344590,,1045.800000,216.800000,31.0,ND,,,0.0,0,0,1,US,38188.3,154655,38188.3,154655,38188.3,154655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
