station_id,constraint_count
50198,550
1005,543
7078,530
78322,528
24485,509
66195,503
57431,490
12508,487
50205,481
35685,477
37099,477
35434,473
54420,472
59439,459
11910,458
31368,457
77480,442
38214,433
66222,428
50170,427
8986,426
35388,424
25382,423
67999,423
84225,423
50182,421
60353,418
10265,412
35666,407
31369,396
2566,388
14885,357
35954,345
60354,289
50194,287
29560,283
66469,262
35645,254
7675,218
6864,204
65370,203
65522,184
72359,161
72358,85
87,76
72361,75
66414,68
79258,68
86532,51
1236,25
